E	N	Z
2622188.45368421	1256907.64421053	346.268574355525
2622188.69789474	1256907.63473684	346.263038575708
2622188.94210526	1256907.62526316	346.257539119895
2622189.18631579	1256907.61578947	346.252076119909
2622189.43052632	1256907.60631579	346.246649707575
2622189.67473684	1256907.59684211	346.241260014717
2622189.91894737	1256907.58736842	346.235907173159
2622190.16315789	1256907.57789474	346.230591314724
2622190.40736842	1256907.56842105	346.225312571238
2622190.65157895	1256907.55894737	346.220071074523
2622190.89578947	1256907.54947368	346.214866956405
2622191.14	1256907.54	346.209700348706
2622191.38421053	1256907.53052632	346.204571383252
2622191.62842105	1256907.52105263	346.199480191866
2622191.87263158	1256907.51157895	346.194426906373
2622192.11684211	1256907.50210526	346.189411658595
2622192.36105263	1256907.49263158	346.184434580358
2622192.60526316	1256907.48315789	346.179495803486
2622192.84947368	1256907.47368421	346.174595459802
2622193.09368421	1256907.46421053	346.16973368113
2622193.33789474	1256907.45473684	346.164910599295
2622193.58210526	1256907.44526316	346.160126346121
2622193.82631579	1256907.43578947	346.155381053432
2622194.07052632	1256907.42631579	346.150674853051
2622194.31473684	1256907.41684211	346.146007876803
2622194.55894737	1256907.40736842	346.141380256512
2622194.80315789	1256907.39789474	346.136792124002
2622195.04736842	1256907.38842105	346.132243611097
2622195.29157895	1256907.37894737	346.127734849621
2622195.53578947	1256907.36947368	346.123265971398
2622195.78	1256907.36	346.118837108252
2622196.02421053	1256907.35052632	346.114448392008
2622196.26842105	1256907.34105263	346.110099954488
2622196.51263158	1256907.33157895	346.105791927518
2622196.75684211	1256907.32210526	346.101524442922
2622197.00105263	1256907.31263158	346.097297632523
2622197.24526316	1256907.30315789	346.093111628145
2622197.48947368	1256907.29368421	346.088966561613
2622197.73368421	1256907.28421053	346.084862564751
2622197.97789474	1256907.27473684	346.080799769382
2622198.22210526	1256907.26526316	346.076778307331
2622198.46631579	1256907.25578947	346.072798310421
2622198.71052632	1256907.24631579	346.068859910478
2622198.95473684	1256907.23684211	346.064963239324
2622199.19894737	1256907.22736842	346.061108428785
2622199.44315789	1256907.21789474	346.057295610683
2622199.68736842	1256907.20842105	346.053524916844
2622199.93157895	1256907.19894737	346.04979647909
2622200.17578947	1256907.18947368	346.046110429247
2622200.42	1256907.18	346.042466899138
2622200.66421053	1256907.17052632	346.038866020587
2622200.90842105	1256907.16105263	346.035307925418
2622201.15263158	1256907.15157895	346.031792745456
2622201.39684211	1256907.14210526	346.028320612524
2622201.64105263	1256907.13263158	346.024891658447
2622201.88526316	1256907.12315789	346.021506015049
2622202.12947368	1256907.11368421	346.018163814152
2622202.37368421	1256907.10421053	346.014865187583
2622202.61789474	1256907.09473684	346.011610267164
2622202.86210526	1256907.08526316	346.00839918472
2622203.10631579	1256907.07578947	346.005232072075
2622203.35052632	1256907.06631579	346.002109061053
2622203.59473684	1256907.05684211	345.999030283478
2622203.83894737	1256907.04736842	345.995995871174
2622204.08315789	1256907.03789474	345.993005955964
2622204.32736842	1256907.02842105	345.990060669674
2622204.57157895	1256907.01894737	345.987160144127
2622204.81578947	1256907.00947368	345.984304511148
2622205.06	1256907	345.981493902559
2622205.30421053	1256906.99052632	345.978728450186
2622205.54842105	1256906.98105263	345.976008285852
