E	N	Z
2622233.08	1256905.76	346
2622233.32888889	1256905.74666667	346
2622233.57777778	1256905.73333333	346
2622233.82666667	1256905.72	346
2622234.07555556	1256905.70666667	346
2622234.32444444	1256905.69333333	346
2622234.57333333	1256905.68	346
2622234.82222222	1256905.66666667	346
2622235.07111111	1256905.65333333	346
2622235.32	1256905.64	346
2622235.56888889	1256905.62666667	346
2622235.81777778	1256905.61333333	346
2622236.06666667	1256905.6	346
2622236.31555556	1256905.58666667	346
2622236.56444444	1256905.57333333	346
2622236.81333333	1256905.56	346
2622237.06222222	1256905.54666667	346
2622237.31111111	1256905.53333333	346
2622237.56	1256905.52	346
2622237.80888889	1256905.50666667	346
2622238.05777778	1256905.49333333	346
2622238.30666667	1256905.48	346
2622238.55555556	1256905.46666667	346
2622238.80444444	1256905.45333333	346
2622239.05333333	1256905.44	346
2622239.30222222	1256905.42666667	346
2622239.55111111	1256905.41333333	346
2622239.8	1256905.4	346
2622240.04888889	1256905.38666667	346
2622240.29777778	1256905.37333333	346
2622240.54666667	1256905.36	346
2622240.79555556	1256905.34666667	346
2622241.04444444	1256905.33333333	346
2622241.29333333	1256905.32	346
2622241.54222222	1256905.30666667	346
2622241.79111111	1256905.29333333	346
2622242.04	1256905.28	346
2622242.28888889	1256905.26666667	346
2622242.53777778	1256905.25333333	346
2622242.78666667	1256905.24	346
2622243.03555556	1256905.22666667	346
2622243.28444444	1256905.21333333	346
2622243.53333333	1256905.2	346
2622243.78222222	1256905.18666667	346
2622244.03111111	1256905.17333333	346
2622244.28	1256905.16	346
