E	N	Z
2622229.98	1256905.56	345.9
2622229.96576642	1256905.33153285	345.902919708029
2622229.95153285	1256905.10306569	345.905839416058
2622229.93729927	1256904.87459854	345.908759124088
2622229.92306569	1256904.64613139	345.911678832117
2622229.90883212	1256904.41766423	345.914598540146
2622229.89459854	1256904.18919708	345.917518248175
2622229.88036496	1256903.96072993	345.920437956204
2622229.86613139	1256903.73226277	345.923357664234
2622229.85189781	1256903.50379562	345.926277372263
2622229.83766423	1256903.27532847	345.929197080292
2622229.82343066	1256903.04686131	345.932116788321
2622229.80919708	1256902.81839416	345.93503649635
2622229.7949635	1256902.58992701	345.93795620438
2622229.78072993	1256902.36145985	345.940875912409
2622229.76649635	1256902.1329927	345.943795620438
2622229.75226277	1256901.90452555	345.946715328467
2622229.7380292	1256901.67605839	345.949635036496
2622229.72379562	1256901.44759124	345.952554744526
2622229.70956204	1256901.21912409	345.955474452555
2622229.69532847	1256900.99065693	345.958394160584
2622229.68109489	1256900.76218978	345.961313868613
2622229.66686131	1256900.53372263	345.964233576642
2622229.65262774	1256900.30525547	345.967153284671
2622229.63839416	1256900.07678832	345.970072992701
2622229.62416058	1256899.84832117	345.97299270073
2622229.60992701	1256899.61985401	345.975912408759
2622229.59569343	1256899.39138686	345.978832116788
2622229.58145985	1256899.16291971	345.981751824817
2622229.56722628	1256898.93445255	345.984671532847
2622229.5529927	1256898.7059854	345.987591240876
2622229.53875912	1256898.47751825	345.990510948905
2622229.52452555	1256898.24905109	345.993430656934
2622229.51029197	1256898.02058394	345.996350364963
2622229.49605839	1256897.79211679	345.999270072993
2622229.48182482	1256897.56364964	346.002189781022
2622229.46759124	1256897.33518248	346.005109489051
2622229.45335766	1256897.10671533	346.00802919708
2622229.43912409	1256896.87824818	346.010948905109
2622229.42489051	1256896.64978102	346.013868613139
2622229.41065693	1256896.42131387	346.016788321168
2622229.39642336	1256896.19284672	346.019708029197
2622229.38218978	1256895.96437956	346.022627737226
2622229.3679562	1256895.73591241	346.025547445255
2622229.35372263	1256895.50744526	346.028467153285
2622229.33948905	1256895.2789781	346.031386861314
2622229.32525547	1256895.05051095	346.034306569343
2622229.3110219	1256894.8220438	346.037226277372
2622229.29678832	1256894.59357664	346.040145985401
2622229.28255474	1256894.36510949	346.043065693431
2622229.26832117	1256894.13664234	346.04598540146
2622229.25408759	1256893.90817518	346.048905109489
2622229.23985401	1256893.67970803	346.051824817518
2622229.22562044	1256893.45124088	346.054744525547
