E	N	Z
2622262.98	1256834.06	343.8
2622263.00525253	1256834.15292929	343.802293711469
2622263.03050505	1256834.24585859	343.804616711957
2622263.05575758	1256834.33878788	343.806967922982
2622263.0810101	1256834.43171717	343.809346266066
2622263.10626263	1256834.52464646	343.811750662728
2622263.13151515	1256834.61757576	343.81418003449
2622263.15676768	1256834.71050505	343.816633302871
2622263.1820202	1256834.80343434	343.819109389391
2622263.20727273	1256834.89636364	343.821607215572
2622263.23252525	1256834.98929293	343.824125702932
2622263.25777778	1256835.08222222	343.826663772994
2622263.2830303	1256835.17515152	343.829220347276
2622263.30828283	1256835.26808081	343.8317943473
2622263.33353535	1256835.3610101	343.834384694585
2622263.35878788	1256835.45393939	343.836990310652
2622263.3840404	1256835.54686869	343.839610117021
2622263.40929293	1256835.63979798	343.842243035212
2622263.43454545	1256835.73272727	343.844887986747
2622263.45979798	1256835.82565657	343.847543893144
2622263.48505051	1256835.91858586	343.850209675925
2622263.51030303	1256836.01151515	343.852884256609
2622263.53555556	1256836.10444444	343.855566556718
2622263.56080808	1256836.19737374	343.858255497771
2622263.58606061	1256836.29030303	343.860950001288
2622263.61131313	1256836.38323232	343.86364898879
2622263.63656566	1256836.47616162	343.866351381798
2622263.66181818	1256836.56909091	343.869056101831
2622263.68707071	1256836.6620202	343.87176207041
2622263.71232323	1256836.75494949	343.874468209056
2622263.73757576	1256836.84787879	343.877173439288
2622263.76282828	1256836.94080808	343.879876682626
2622263.78808081	1256837.03373737	343.882576860592
2622263.81333333	1256837.12666667	343.885272894705
2622263.83858586	1256837.21959596	343.887963706486
2622263.86383838	1256837.31252525	343.890648217455
2622263.88909091	1256837.40545455	343.893325349132
2622263.91434343	1256837.49838384	343.895994023038
2622263.93959596	1256837.59131313	343.898653160693
2622263.96484848	1256837.68424242	343.901301683617
2622263.99010101	1256837.77717172	343.903938513331
2622264.01535354	1256837.87010101	343.906562571354
2622264.04060606	1256837.9630303	343.909172779208
2622264.06585859	1256838.0559596	343.911768058413
2622264.09111111	1256838.14888889	343.914347330488
2622264.11636364	1256838.24181818	343.916909516954
2622264.14161616	1256838.33474747	343.919453539332
2622264.16686869	1256838.42767677	343.921978319142
2622264.19212121	1256838.52060606	343.924482777904
2622264.21737374	1256838.61353535	343.926965837138
2622264.24262626	1256838.70646465	343.929426418365
2622264.26787879	1256838.79939394	343.931863443105
2622264.29313131	1256838.89232323	343.934275832878
2622264.31838384	1256838.98525253	343.936662509205
2622264.34363636	1256839.07818182	343.939022393605
2622264.36888889	1256839.17111111	343.9413544076
2622264.39414141	1256839.2640404	343.94365747271
2622264.41939394	1256839.3569697	343.945930510454
2622264.44464646	1256839.44989899	343.948172442354
2622264.46989899	1256839.54282828	343.950382189929
2622264.49515152	1256839.63575758	343.9525586747
2622264.52040404	1256839.72868687	343.954700818187
2622264.54565657	1256839.82161616	343.95680754191
2622264.57090909	1256839.91454545	343.958877767391
2622264.59616162	1256840.00747475	343.960910416148
2622264.62141414	1256840.10040404	343.962904409702
2622264.64666667	1256840.19333333	343.964858669575
2622264.67191919	1256840.28626263	343.966772117285
2622264.69717172	1256840.37919192	343.968643674353
2622264.72242424	1256840.47212121	343.970472262301
2622264.74767677	1256840.56505051	343.972256802647
2622264.77292929	1256840.6579798	343.973996216912
2622264.79818182	1256840.75090909	343.975689426616
2622264.82343434	1256840.84383838	343.977335353281
2622264.84868687	1256840.93676768	343.978932918426
2622264.87393939	1256841.02969697	343.980481043571
2622264.89919192	1256841.12262626	343.981978650237
2622264.92444444	1256841.21555556	343.983424659944
2622264.94969697	1256841.30848485	343.984817994213
