E	N	Z
2622248.69524664	1256843.13219731	345.655975926973
2622248.87192825	1256843.1335426	345.641250798571
2622249.04860987	1256843.13488789	345.626449632675
2622249.22529148	1256843.13623318	345.611573024732
2622249.40197309	1256843.13757848	345.596621570188
2622249.57865471	1256843.13892377	345.581595864488
2622249.75533632	1256843.14026906	345.56649650308
2622249.93201794	1256843.14161435	345.55132408141
2622250.10869955	1256843.14295964	345.536079194922
2622250.28538117	1256843.14430493	345.520762439065
2622250.46206278	1256843.14565022	345.505374409283
2622250.63874439	1256843.14699552	345.489915701023
2622250.81542601	1256843.14834081	345.474386909731
2622250.99210762	1256843.1496861	345.458788630853
2622251.16878924	1256843.15103139	345.443121459836
2622251.34547085	1256843.15237668	345.427385992125
2622251.52215247	1256843.15372197	345.411582823167
2622251.69883408	1256843.15506726	345.395712548408
2622251.8755157	1256843.15641256	345.379775763294
2622252.05219731	1256843.15775785	345.363773063271
2622252.22887892	1256843.15910314	345.347705043786
2622252.40556054	1256843.16044843	345.331572300284
2622252.58224215	1256843.16179372	345.315375428211
2622252.75892377	1256843.16313901	345.299115023014
2622252.93560538	1256843.1644843	345.28279168014
2622253.112287	1256843.1658296	345.266405995033
2622253.28896861	1256843.16717489	345.249958563141
2622253.46565022	1256843.16852018	345.233449979909
2622253.64233184	1256843.16986547	345.216880840783
2622253.81901345	1256843.17121076	345.200251741211
2622253.99569507	1256843.17255605	345.183563276637
2622254.17237668	1256843.17390135	345.166816042508
2622254.3490583	1256843.17524664	345.150010634271
2622254.52573991	1256843.17659193	345.133147647371
2622254.70242152	1256843.17793722	345.116227677254
2622254.87910314	1256843.17928251	345.099251319367
2622255.05578475	1256843.1806278	345.082219169156
2622255.23246637	1256843.18197309	345.065131822066
2622255.40914798	1256843.18331839	345.047989873545
2622255.5858296	1256843.18466368	345.030793919038
2622255.76251121	1256843.18600897	345.013544553992
2622255.93919282	1256843.18735426	344.996242373852
2622256.11587444	1256843.18869955	344.978887974065
2622256.29255605	1256843.19004484	344.961481950077
2622256.46923767	1256843.19139013	344.944024897334
2622256.64591928	1256843.19273543	344.926517411282
2622256.8226009	1256843.19408072	344.908960087367
2622256.99928251	1256843.19542601	344.891353521036
2622257.17596413	1256843.1967713	344.873698307735
2622257.35264574	1256843.19811659	344.855995042909
2622257.52932735	1256843.19946188	344.838244322005
2622257.70600897	1256843.20080717	344.82044674047
2622257.88269058	1256843.20215247	344.802602893749
2622258.0593722	1256843.20349776	344.784713377288
2622258.23605381	1256843.20484305	344.766778786534
2622258.41273543	1256843.20618834	344.748799716933
2622258.58941704	1256843.20753363	344.73077676393
2622258.76609865	1256843.20887892	344.712710522973
2622258.94278027	1256843.21022422	344.694601589507
2622259.11946188	1256843.21156951	344.676450558978
2622259.2961435	1256843.2129148	344.658258026833
2622259.47282511	1256843.21426009	344.640024588517
2622259.64950673	1256843.21560538	344.621750839477
2622259.82618834	1256843.21695067	344.60343737516
2622260.00286996	1256843.21829596	344.58508479101
2622260.17955157	1256843.21964126	344.566693682475
2622260.35623318	1256843.22098655	344.548264645
2622260.5329148	1256843.22233184	344.529798274032
2622260.70959641	1256843.22367713	344.511295165016
2622260.88627803	1256843.22502242	344.4927559134
2622261.06295964	1256843.22636771	344.474181114629
2622261.23964126	1256843.227713	344.455571364149
2622261.41632287	1256843.2290583	344.436927257406
2622261.59300448	1256843.23040359	344.418249389847
2622261.7696861	1256843.23174888	344.399538356917
2622261.94636771	1256843.23309417	344.380794754063
2622262.12304933	1256843.23443946	344.362019176732
2622262.29973094	1256843.23578475	344.343212220368
2622262.47641256	1256843.23713004	344.324374480419
2622262.65309417	1256843.23847534	344.305506552331
2622262.82977578	1256843.23982063	344.286609031549
2622263.0064574	1256843.24116592	344.267682513519
2622263.18313901	1256843.24251121	344.248727593689
2622263.35982063	1256843.2438565	344.229744867504
2622263.53650224	1256843.24520179	344.21073493041
2622263.71318386	1256843.24654709	344.191698377853
2622263.88986547	1256843.24789238	344.17263580528
2622264.06654709	1256843.24923767	344.153547808137
2622264.2432287	1256843.25058296	344.13443498187
2622264.41991031	1256843.25192825	344.115297921925
2622264.59659193	1256843.25327354	344.096137223747
2622264.77327354	1256843.25461883	344.076953482785
2622264.94995516	1256843.25596413	344.057747294482
2622265.12663677	1256843.25730942	344.038519254287
2622265.30331839	1256843.25865471	344.019269957644
2622265.48	1256843.26	344
2622265.50647059	1256843.25779412	343.99704858072
2622265.53294118	1256843.25558824	343.994057236634
2622265.55941176	1256843.25338235	343.991026377219
2622265.58588235	1256843.25117647	343.987956411956
2622265.61235294	1256843.24897059	343.984847750322
2622265.63882353	1256843.24676471	343.981700801798
2622265.66529412	1256843.24455882	343.978515975861
2622265.69176471	1256843.24235294	343.975293681991
2622265.71823529	1256843.24014706	343.972034329667
2622265.74470588	1256843.23794118	343.968738328368
2622265.77117647	1256843.23573529	343.965406087572
2622265.79764706	1256843.23352941	343.962038016759
2622265.82411765	1256843.23132353	343.958634525407
2622265.85058824	1256843.22911765	343.955196022996
2622265.87705882	1256843.22691176	343.951722919005
2622265.90352941	1256843.22470588	343.948215622912
2622265.93	1256843.2225	343.944674544196
2622265.95647059	1256843.22029412	343.941100092337
2622265.98294118	1256843.21808824	343.937492676812
2622266.00941176	1256843.21588235	343.933852707103
2622266.03588235	1256843.21367647	343.930180592686
2622266.06235294	1256843.21147059	343.926476743041
2622266.08882353	1256843.20926471	343.922741567648
2622266.11529412	1256843.20705882	343.918975475985
2622266.14176471	1256843.20485294	343.91517887753
2622266.16823529	1256843.20264706	343.911352181764
2622266.19470588	1256843.20044118	343.907495798164
2622266.22117647	1256843.19823529	343.903610136211
2622266.24764706	1256843.19602941	343.899695605382
2622266.27411765	1256843.19382353	343.895752615157
2622266.30058824	1256843.19161765	343.891781575014
2622266.32705882	1256843.18941176	343.887782894433
2622266.35352941	1256843.18720588	343.883756982893
2622266.38	1256843.185	343.879704249873
2622266.40647059	1256843.18279412	343.875625104851
2622266.43294118	1256843.18058824	343.871519957306
2622266.45941176	1256843.17838235	343.867389216718
2622266.48588235	1256843.17617647	343.863233292565
2622266.51235294	1256843.17397059	343.859052594326
2622266.53882353	1256843.17176471	343.854847531481
2622266.56529412	1256843.16955882	343.850618513508
2622266.59176471	1256843.16735294	343.846365949886
2622266.61823529	1256843.16514706	343.842090250095
2622266.64470588	1256843.16294118	343.837791823612
2622266.67117647	1256843.16073529	343.833471079917
2622266.69764706	1256843.15852941	343.82912842849
2622266.72411765	1256843.15632353	343.824764278808
2622266.75058824	1256843.15411765	343.820379040351
2622266.77705882	1256843.15191176	343.815973122598
2622266.80352941	1256843.14970588	343.811546935028
2622266.83	1256843.1475	343.807100887119
2622266.85647059	1256843.14529412	343.802635388351
2622266.88294118	1256843.14308824	343.798150848203
2622266.90941176	1256843.14088235	343.793647676154
2622266.93588235	1256843.13867647	343.789126281682
2622266.96235294	1256843.13647059	343.784587074266
2622266.98882353	1256843.13426471	343.780030463386
2622267.01529412	1256843.13205882	343.77545685852
2622267.04176471	1256843.12985294	343.770866669148
2622267.06823529	1256843.12764706	343.766260304748
2622267.09470588	1256843.12544118	343.761638174799
2622267.12117647	1256843.12323529	343.75700068878
2622267.14764706	1256843.12102941	343.752348256171
2622267.17411765	1256843.11882353	343.74768128645
2622267.20058824	1256843.11661765	343.743000189095
2622267.22705882	1256843.11441176	343.738305373587
2622267.25352941	1256843.11220588	343.733597249404
2622267.28	1256843.11	343.728876226024
2622267.30647059	1256843.10779412	343.724142712928
2622267.33294118	1256843.10558824	343.719397119593
2622267.35941176	1256843.10338235	343.714639855499
2622267.38588235	1256843.10117647	343.709871330124
2622267.41235294	1256843.09897059	343.705091952949
2622267.43882353	1256843.09676471	343.700302133451
2622267.46529412	1256843.09455882	343.695502281109
2622267.49176471	1256843.09235294	343.690692805404
2622267.51823529	1256843.09014706	343.685874115812
2622267.54470588	1256843.08794118	343.681046621814
2622267.57117647	1256843.08573529	343.676210732889
2622267.59764706	1256843.08352941	343.671366858514
2622267.62411765	1256843.08132353	343.66651540817
2622267.65058824	1256843.07911765	343.661656791335
2622267.67705882	1256843.07691176	343.656791417489
2622267.70352941	1256843.07470588	343.651919696109
2622267.73	1256843.0725	343.647042036676
2622267.75647059	1256843.07029412	343.642158848668
2622267.78294118	1256843.06808824	343.637270541563
2622267.80941176	1256843.06588235	343.632377524842
2622267.83588235	1256843.06367647	343.627480207982
2622267.86235294	1256843.06147059	343.622579000464
2622267.88882353	1256843.05926471	343.617674311765
2622267.91529412	1256843.05705882	343.612766551365
2622267.94176471	1256843.05485294	343.607856128742
2622267.96823529	1256843.05264706	343.602943453376
2622267.99470588	1256843.05044118	343.598028934746
2622268.02117647	1256843.04823529	343.59311298233
2622268.04764706	1256843.04602941	343.588196005608
2622268.07411765	1256843.04382353	343.583278414059
2622268.10058824	1256843.04161765	343.57836061716
2622268.12705882	1256843.03941176	343.573443024392
2622268.15352941	1256843.03720588	343.568526045234
2622268.18	1256843.035	343.563610089163
2622268.20647059	1256843.03279412	343.55869556566
2622268.23294118	1256843.03058824	343.553782884203
2622268.25941176	1256843.02838235	343.548872454271
2622268.28588235	1256843.02617647	343.543964685344
2622268.31235294	1256843.02397059	343.539059986899
2622268.33882353	1256843.02176471	343.534158768416
2622268.36529412	1256843.01955882	343.529261439374
2622268.39176471	1256843.01735294	343.524368409252
2622268.41823529	1256843.01514706	343.519480087529
2622268.44470588	1256843.01294118	343.514596883684
2622268.47117647	1256843.01073529	343.509719207195
2622268.49764706	1256843.00852941	343.504847467542
2622268.52411765	1256843.00632353	343.499982074203
2622268.55058824	1256843.00411765	343.495123436659
2622268.57705882	1256843.00191176	343.490271964386
2622268.60352941	1256842.99970588	343.485428066866
2622268.63	1256842.9975	343.480592153575
2622268.65647059	1256842.99529412	343.475764633994
2622268.68294118	1256842.99308824	343.470945917602
2622268.70941176	1256842.99088235	343.466136413876
2622268.73588235	1256842.98867647	343.461336532297
2622268.76235294	1256842.98647059	343.456546682343
2622268.78882353	1256842.98426471	343.451767273494
2622268.81529412	1256842.98205882	343.446998715227
2622268.84176471	1256842.97985294	343.442241417022
2622268.86823529	1256842.97764706	343.437495788359
2622268.89470588	1256842.97544118	343.432762238715
2622268.92117647	1256842.97323529	343.42804117757
2622268.94764706	1256842.97102941	343.423333014403
2622268.97411765	1256842.96882353	343.418638158693
2622269.00058824	1256842.96661765	343.413957019919
2622269.02705882	1256842.96441176	343.409290007559
2622269.05352941	1256842.96220588	343.404637531093
2622269.08	1256842.96	343.4
