E	N	Z
2622226.08	1256842.96	346.7
2622226.25668161	1256842.96134529	346.699923674217
2622226.43336323	1256842.96269058	346.699695093833
2622226.61004484	1256842.96403587	346.699314854294
2622226.78672646	1256842.96538117	346.698783551046
2622226.96340807	1256842.96672646	346.698101779535
2622227.14008969	1256842.96807175	346.697270135207
2622227.3167713	1256842.96941704	346.696289213509
2622227.49345291	1256842.97076233	346.695159609886
2622227.67013453	1256842.97210762	346.693881919785
2622227.84681614	1256842.97345291	346.692456738652
2622228.02349776	1256842.97479821	346.690884661934
2622228.20017937	1256842.9761435	346.689166285075
2622228.37686099	1256842.97748879	346.687302203523
2622228.5535426	1256842.97883408	346.685293012723
2622228.73022422	1256842.98017937	346.683139308122
2622228.90690583	1256842.98152466	346.680841685166
2622229.08358744	1256842.98286996	346.678400739301
2622229.26026906	1256842.98421525	346.675817065973
2622229.43695067	1256842.98556054	346.673091260628
2622229.61363229	1256842.98690583	346.670223918713
2622229.7903139	1256842.98825112	346.667215635673
2622229.96699552	1256842.98959641	346.664067006956
2622230.14367713	1256842.9909417	346.660778628006
2622230.32035874	1256842.992287	346.65735109427
2622230.49704036	1256842.99363229	346.653785001195
2622230.67372197	1256842.99497758	346.650080944226
2622230.85040359	1256842.99632287	346.646239518809
2622231.0270852	1256842.99766816	346.642261320392
2622231.20376682	1256842.99901345	346.638146944419
2622231.38044843	1256843.00035874	346.633896986337
2622231.55713004	1256843.00170404	346.629512041592
2622231.73381166	1256843.00304933	346.624992705631
2622231.91049327	1256843.00439462	346.620339573899
2622232.08717489	1256843.00573991	346.615553241843
2622232.2638565	1256843.0070852	346.610634304908
2622232.44053812	1256843.00843049	346.605583358542
2622232.61721973	1256843.00977578	346.60040099819
2622232.79390135	1256843.01112108	346.595087819298
2622232.97058296	1256843.01246637	346.589644417312
2622233.14726457	1256843.01381166	346.584071387679
2622233.32394619	1256843.01515695	346.578369325845
2622233.5006278	1256843.01650224	346.572538827255
2622233.67730942	1256843.01784753	346.566580487357
2622233.85399103	1256843.01919283	346.560494901596
2622234.03067265	1256843.02053812	346.554282665418
2622234.20735426	1256843.02188341	346.54794437427
2622234.38403587	1256843.0232287	346.541480623597
2622234.56071749	1256843.02457399	346.534892008846
2622234.7373991	1256843.02591928	346.528179125463
2622234.91408072	1256843.02726457	346.521342568895
2622235.09076233	1256843.02860987	346.514382934586
2622235.26744395	1256843.02995516	346.507300817984
2622235.44412556	1256843.03130045	346.500096814535
2622235.62080718	1256843.03264574	346.492771519684
2622235.79748879	1256843.03399103	346.485325528878
2622235.9741704	1256843.03533632	346.477759437564
2622236.15085202	1256843.03668161	346.470073841186
2622236.32753363	1256843.03802691	346.462269335192
2622236.50421525	1256843.0393722	346.454346515028
2622236.68089686	1256843.04071749	346.446305976139
2622236.85757848	1256843.04206278	346.438148313972
2622237.03426009	1256843.04340807	346.429874123973
2622237.2109417	1256843.04475336	346.421484001588
2622237.38762332	1256843.04609865	346.412978542263
2622237.56430493	1256843.04744395	346.404358341445
2622237.74098655	1256843.04878924	346.39562399458
2622237.91766816	1256843.05013453	346.386776097113
2622238.09434978	1256843.05147982	346.377815244491
2622238.27103139	1256843.05282511	346.36874203216
2622238.447713	1256843.0541704	346.359557055567
2622238.62439462	1256843.0555157	346.350260910157
2622238.80107623	1256843.05686099	346.340854191376
2622238.97775785	1256843.05820628	346.331337494671
2622239.15443946	1256843.05955157	346.321711415488
2622239.33112108	1256843.06089686	346.311976549273
2622239.50780269	1256843.06224215	346.302133491472
2622239.6844843	1256843.06358744	346.292182837531
2622239.86116592	1256843.06493274	346.282125182897
2622240.03784753	1256843.06627803	346.271961123016
2622240.21452915	1256843.06762332	346.261691253333
2622240.39121076	1256843.06896861	346.251316169295
2622240.56789238	1256843.0703139	346.240836466349
2622240.74457399	1256843.07165919	346.230252739939
2622240.92125561	1256843.07300448	346.219565585513
2622241.09793722	1256843.07434978	346.208775598517
2622241.27461883	1256843.07569507	346.197883374396
2622241.45130045	1256843.07704036	346.186889508597
2622241.62798206	1256843.07838565	346.175794596567
2622241.80466368	1256843.07973094	346.16459923375
2622241.98134529	1256843.08107623	346.153304015594
2622242.15802691	1256843.08242152	346.141909537544
2622242.33470852	1256843.08376682	346.130416395047
2622242.51139013	1256843.08511211	346.118825183548
2622242.68807175	1256843.0864574	346.107136498495
2622242.86475336	1256843.08780269	346.095350935332
2622243.04143498	1256843.08914798	346.083469089507
2622243.21811659	1256843.09049327	346.071491556466
2622243.39479821	1256843.09183856	346.059418931654
2622243.57147982	1256843.09318386	346.047251810517
2622243.74816144	1256843.09452915	346.034990788503
2622243.92484305	1256843.09587444	346.022636461056
2622244.10152466	1256843.09721973	346.010189423624
2622244.27820628	1256843.09856502	345.997650271652
2622244.45488789	1256843.09991031	345.985019600587
2622244.63156951	1256843.10125561	345.972298005874
2622244.80825112	1256843.1026009	345.95948608296
2622244.98493274	1256843.10394619	345.946584427291
2622245.16161435	1256843.10529148	345.933593634314
2622245.33829596	1256843.10663677	345.920514299473
2622245.51497758	1256843.10798206	345.907347018216
2622245.69165919	1256843.10932735	345.894092385989
2622245.86834081	1256843.11067265	345.880750998237
2622246.04502242	1256843.11201794	345.867323450407
2622246.22170404	1256843.11336323	345.853810337945
2622246.39838565	1256843.11470852	345.840212256298
2622246.57506726	1256843.11605381	345.826529800911
2622246.75174888	1256843.1173991	345.81276356723
2622246.92843049	1256843.11874439	345.798914150702
2622247.10511211	1256843.12008969	345.784982146773
2622247.28179372	1256843.12143498	345.770968150889
2622247.45847534	1256843.12278027	345.756872758495
2622247.63515695	1256843.12412556	345.74269656504
2622247.81183856	1256843.12547085	345.728440165967
2622247.98852018	1256843.12681614	345.714104156725
2622248.16520179	1256843.12816144	345.699689132758
2622248.34188341	1256843.12950673	345.685195689513
2622248.51856502	1256843.13085202	345.670624422436
